country,year,co2_per_capita_tco2e_excl_lulucf,co2_total_mtco2e_excl_lulucf,energy_use_kg_oe_per_capita,gdp_current_usd,population_total,renewable_electricity_pct,renewable_energy_consumption_pct,urban_pop_pct,missing_indicator_count
IDN,2015,1.95725313176892,512.4074,698.660737586188,860854232686.214,261799249.0,13.6593504639543,26.6,53.313,0
IDN,2016,1.91619146584425,507.0768,718.57953489745,931877364037.698,264627418.0,15.1437457097094,27.8,53.989,0
IDN,2017,2.00382979913667,535.7172,755.351304203294,1015618744159.73,267346658.0,15.7714127577141,25.2,54.659,0
IDN,2018,2.21327139952212,597.4767,826.038659966956,1042271532988.63,269951846.0,15.5999106611078,22.0,55.325,0
IDN,2019,2.338843802504,637.3101,844.870039441295,1119099871350.2,272489381.0,14.5841228957778,19.8,55.985,0
IDN,2020,2.16241358646151,594.2634,848.436766186593,1059054842698.48,274814866.0,15.8206622268759,21.9,56.641,0
IDN,2021,2.23779360089659,619.3274,896.813534898965,1186509691086.73,276758053.0,15.5300398228856,20.2,57.29,0
IDN,2022,2.35508357838392,656.6692,953.65392850686,1319101183380.15,278830529.0,15.5300398228856,20.2,57.934,0
IDN,2023,2.39886105222913,674.5359,976.949985543796,1371169301563.62,281190067.0,15.5300398228856,20.2,58.572,0
IDN,2024,2.39886105222913,674.5359,976.949985543796,1396300098190.97,283487931.0,15.5300398228856,20.2,59.204,0
KHM,1990,0.0586189203379314,0.4323,282.350097776989,1402541176.5121,7374752.0,0.0,82.5,15.546,0
KHM,1991,0.0620410181023436,0.4769,282.350097776989,2054974089.3643,7686850.0,0.0,82.5,15.887,0
KHM,1992,0.0644514545210495,0.5229,282.350097776989,2491486594.18917,8113083.0,0.0,82.5,16.234,0
KHM,1993,0.0615455607174288,0.5303,282.350097776989,2533727592.04165,8616381.0,0.0,82.5,16.587,0
KHM,1994,0.0590096807481025,0.5452,282.350097776989,2791435272.26653,9239162.0,0.0,82.5,16.946,0
KHM,1995,0.149812891095341,1.5009,282.350097776989,3441205692.9166,10018497.0,0.0,82.5,17.311,0
KHM,1996,0.154259637987014,1.6662,269.715973671116,3506695719.57259,10801270.0,0.0,82.5,17.683,0
KHM,1997,0.153746674223502,1.779,258.947253051872,3443413388.65696,11570982.0,0.0,82.2,18.06,0
KHM,1998,0.165340139007792,1.9937,268.346190136852,3120425502.66241,12058173.0,0.0,81.3,18.355,0
KHM,1999,0.158335446945641,1.9421,271.448297617757,3517242477.2548,12265731.0,0.0,81.5,18.47,0
KHM,2000,0.160555773813192,2.0009,273.111060087066,3694168979.32019,12462336.0,8.95982142857143,81.6,18.586,0
KHM,2001,0.172785303516598,2.1872,276.164207089023,4145665969.92864,12658484.0,5.94695481335953,80.5,18.703,0
